Land_type_id	%min	%max	Land_type		
1	0.000475	0.000525	AIR	2446500.33495	56.1639195351
2	0.006175	0.006825	CIV	32981762.443774	757.1570808947
3	0.0114	0.0126	HIC	60911160.263665	1398.3278297444
4	0.011685	0.012915	LIC	62594040.312061	1436.9614396708
5	0.03078	0.03402	LLRN	164899404.266848	3785.5694276136
6	0.00209	0.00231	MFRN	11316886.216549	259.7999590576
7	0.004465	0.004935	MHP	23976198.940894	550.417790195
8	0.00076	0.00084	MRN	4285606.806796	98.3839946464
9	0.00068	0.00108	MUN	9230196.129768	211.8961462298
10	0.00000095	0.00000105	NCC	69218.704961	1.5890428136
11	0.049875	0.055125	POS	267037179.186339	6130.3301006965
12	0.000095	0.000105	RCR	294007.142703	6.7494752687
13	0.33326	0.36834	RL	1784951797.48689	40976.8548550709
14	0.008075	0.008925	SCC	43203770.865773	991.8221043566
15	0.127585	0.141015	SLRN	683422201.843778	15689.2149183604
16	0.00095	0.00105	SOC	5182655.297102	118.977394332
17	0.000475	0.000525	TC	2642531.155318	60.6641679366
18	0.000095	0.000105	UC	729333.064042	16.7431832884
19	0.00152	0.00168	UN	8244091.752543	189.2583046957
20	0.000095	0.000105	VC	323136.548239	7.418194404
21	0.358435	0.396165	WF	1919754963.36307	44071.5097190787
22	0.00091	0.000756	MUC		
23	0.00000095	0.00000105	MC		
24	0.00011	0.000126	TOD		
